Route,SpeciesName,Abundance
2,Common Yellowthroat,10
2,Northern Parula,5
2,Ovenbird,3
2,Pine Warbler,22
2,Prairie Warbler,5
2,Prothonotary Warbler,6
2,Yellow-throated Warbler,1
2,Yellow-breasted Chat,7
3,Common Yellowthroat,1
3,Pine Warbler,17
3,Prothonotary Warbler,1
3,Yellow-throated Warbler,1
3,Yellow-breasted Chat,1
4,Hooded Warbler,1
4,Northern Parula,2
4,Pine Warbler,3
4,Prothonotary Warbler,1
4,Swainson's Warbler,1
4,Yellow-throated Warbler,1
4,Yellow-breasted Chat,2
5,Common Yellowthroat,2
5,Northern Parula,1
5,Pine Warbler,1
5,Prothonotary Warbler,1
5,Yellow-breasted Chat,1
10,Common Yellowthroat,20
10,Hooded Warbler,1
10,Louisiana Waterthrush,4
10,Ovenbird,6
10,Pine Warbler,10
10,Prothonotary Warbler,6
10,Yellow-throated Warbler,1
10,Yellow-breasted Chat,12
11,Common Yellowthroat,4
11,Ovenbird,2
11,Prothonotary Warbler,5
11,Yellow-breasted Chat,1
12,Common Yellowthroat,1
12,Pine Warbler,25
12,Prairie Warbler,2
12,Yellow-throated Warbler,6
12,Yellow-breasted Chat,11
14,Common Yellowthroat,5
14,Ovenbird,2
14,Pine Warbler,3
14,Yellow-breasted Chat,2
17,Common Yellowthroat,11
17,Kentucky Warbler,2
17,Louisiana Waterthrush,1
17,Ovenbird,1
17,Pine Warbler,7
17,Prothonotary Warbler,3
17,Yellow-breasted Chat,11
23,Black-and-white Warbler,1
23,Common Yellowthroat,24
23,Hooded Warbler,11
23,Louisiana Waterthrush,2
23,Ovenbird,25
23,Pine Warbler,22
23,Prairie Warbler,19
23,Prothonotary Warbler,14
23,Swainson's Warbler,2
23,Yellow-throated Warbler,2
23,Yellow-breasted Chat,9
24,Black-and-white Warbler,1
24,Common Yellowthroat,10
24,Hooded Warbler,9
24,Kentucky Warbler,3
24,Louisiana Waterthrush,2
24,Northern Parula,4
24,Ovenbird,11
24,Pine Warbler,17
24,Prairie Warbler,13
24,Prothonotary Warbler,2
24,Yellow-throated Warbler,4
24,Yellow-breasted Chat,13
25,Common Yellowthroat,12
25,Hooded Warbler,2
25,Louisiana Waterthrush,1
25,Northern Parula,2
25,Ovenbird,9
25,Pine Warbler,8
25,Prairie Warbler,6
25,Prothonotary Warbler,1
25,Yellow-throated Warbler,1
25,Yellow-breasted Chat,11
27,Common Yellowthroat,8
27,Northern Parula,2
27,Pine Warbler,4
30,American Redstart,2
30,Black-and-white Warbler,1
30,Black-throated Blue Warbler,2
30,Chestnut-sided Warbler,8
30,Hooded Warbler,7
30,Northern Parula,5
31,Black-and-white Warbler,2
31,Black-throated Blue Warbler,17
31,Black-throated Green Warbler,6
31,Canada Warbler,9
31,Chestnut-sided Warbler,6
31,Common Yellowthroat,1
31,Hooded Warbler,8
31,Northern Parula,2
31,Ovenbird,20
101,Black-and-white Warbler,1
101,Common Yellowthroat,10
101,Hooded Warbler,10
101,Northern Parula,10
101,Ovenbird,8
101,Pine Warbler,25
101,Prairie Warbler,6
101,Prothonotary Warbler,17
101,Swainson's Warbler,3
101,Worm-eating Warbler,4
101,Yellow-throated Warbler,11
101,Yellow-breasted Chat,9
